id,proponente_id,projeto,setor,macrosetor,impacto-esperado,status,alcance geográfico,público-alvo
1,1,Como Manter a Esperança?,Psicologia,Saúde e Bem-estar,Social,Em planejamento,Local,Consumidores e Empresas
2,2,Labirinto do Aprendizado,Educação,Educação,Social,Em andamento,Nacional,Consumidores e Empresas
3,3,Energia Solar,Energia Renovável,Energia e Recursos,"Ambiental, Econômico",Em andamento,Local,Funcionários
4,4,CRISPR-Cas9 na Terapia Gênica,Genética,Ciência e Pesquisa,Científico,Em planejamento,Local,Funcionários
5,5,Campanha de Conscientização sobre Economia de Água em Condomínios,Sustentabilidade,Sustentabilidade,"Ambiental, Social",Em andamento,Local,Funcionários
6,6,SmartCommute,TI,Tecnologia e Informação,Econômico,Em planejamento,Nacional,Empresas
7,7,TechBridge: Capacitação em Tecnologia para Jovens em Situação de Risco,"Educação, Tecnologia",Educação,Social,Em andamento,Nacional,Funcionários
8,8,Programa de Comunicação Interna,Comunicação,Comunicação e Mídia,Social,Em andamento,Local,Funcionários
9,9,Vita Verde (Vida Verde),Ambiental,Meio Ambiente,"Ambiental, Social",Em andamento,Local,"Consumidores, Empresas e Governo"
10,10,Iniciativa de Educação Financeira,Educação,Educação,Econômico,Em planejamento,Local,"Consumidores, Empresas e Governo"
11,11,HealthTech Innovate,"Tecnologia, Saúde",Tecnologia e Inovação,"Científico, Econômico",Em andamento,Local,Funcionários
12,12,Yacht de Yeux (Iate dos Olhos),Social,Serviços Sociais,"Cultural, Social",Em planejamento,Local,População
13,13,EcoDrive Solutions,Tecnologia,Tecnologia e Inovação,"Ambiental, Econômico",Em andamento,Local,Empresas
14,14,Avanços em Nanotecnologia para Energia Renovável,Científico,Ciência e Pesquisa,Ambiental,Em andamento,Local,Consumidores
15,15,ESPAÇO (Estratégias Sustentáveis para Preservação Ambiental e Comunidades Organizadas),Ambiental,Meio Ambiente,"Ambiental, Social",Em planejamento,Local,Empresas
16,16,ZêniteZaffre,Astronomia,Ciência e Pesquisa,Científico,Em andamento,Local,"Consumidores, Empresas e Governo"
17,17,Inovação Intensa,Tecnologia,Tecnologia e Inovação,"Econômico, Científico",Em andamento,Nacional,Funcionários
18,18,Tech para o Amanhã: Bootcamp de Codificação para Jovens Desfavorecidos,"Educação, Tecnologia",Educação,Social,Em planejamento,Local,Consumidores e Empresas
